game_date,Name,type,id,attributes.adjusted_odds,prop_line,odds_type,attributes.projection_type,prop_type,PP_ID,position,team_name,image_url,game_date_time
2024-05-10,Eugenio Suárez,projection,2430079,True,1.5,demon,Single Stat,Hits,192368,IF,AZ,https://static.prizepicks.com/images/players/mlb/Eugenio_Suárez_27e91ba7-4a19-4548-91fc-8d70a29b9b8a.webp,2024-05-10 19:05:00-04:00
2024-05-10,Adolis García,projection,2429983,True,0.5,demon,Single Stat,Doubles,67652,OF,TEX,https://static.prizepicks.com/images/players/mlb/Adolis_García_8f44f889-278d-4321-9158-bb8a4a7ef271.webp,2024-05-10 20:40:00-04:00
2024-05-10,Michael Harris II,projection,2430939,True,0.5,demon,Single Stat,Runs,68832,OF,ATL,https://static.prizepicks.com/images/players/mlb/Michael_Harris_94b20984-18d1-49bf-aed9-eac78c0d1416.webp,2024-05-10 19:10:00-04:00
2024-05-10,Brendan Rodgers,projection,2429984,True,0.5,demon,Single Stat,Doubles,67735,IF,COL,https://static.prizepicks.com/images/players/mlb/Brendan_Rodgers_52cc8d0b-6e9d-4324-a385-758ca6433e66.webp,2024-05-10 20:40:00-04:00
2024-05-10,Gabriel Moreno,projection,2430080,True,0.5,goblin,Single Stat,Hits,192458,C,AZ,https://static.prizepicks.com/images/players/mlb/Gabriel_Moreno_47bbd747-6edc-4d0e-a976-5228f5003fbd.webp,2024-05-10 19:05:00-04:00
2024-05-10,Lourdes Gurriel Jr.,projection,2430698,True,0.5,demon,Single Stat,RBIs,192363,OF,AZ,https://static.prizepicks.com/images/players/mlb/Lourdes_Gurriel_Jr_20e7bd6e-fb56-4e86-ad2d-b50bc5477371.webp,2024-05-10 19:05:00-04:00
2024-05-10,Brenton Doyle,projection,2429985,True,0.5,demon,Single Stat,Doubles,140684,OF,COL,https://static.prizepicks.com/images/players/mlb/Brenton_Doyle_28594769-7a22-449b-a543-ea0776b01eba.webp,2024-05-10 20:40:00-04:00
2024-05-10,Omar Narváez,projection,2430940,True,0.5,demon,Single Stat,Runs,127258,C,NYM,https://static.prizepicks.com/images/players/mlb/Omar_Narváez_36b546a8-a5d9-4469-921f-fe1e4de62608.webp,2024-05-10 19:10:00-04:00
2024-05-10,Nick Castellanos,projection,2430596,True,1.5,demon,Single Stat,Hitter Strikeouts,67533,OF,PHI,https://static.prizepicks.com/images/players/mlb/Nick_Castellanos_169ed0b1-e34b-4f4b-925b-f3288f24a5e7.webp,2024-05-10 19:10:00-04:00
2024-05-10,Isiah Kiner-Falefa,projection,2430380,True,0.5,goblin,Single Stat,Hits+Runs+RBIs,192800,IF,TOR,https://static.prizepicks.com/images/players/mlb/Isiah_Kiner-Falefa_283f2c57-6441-4173-b5a0-728e46b8c894.webp,2024-05-10 19:07:00-04:00
2024-05-10,Charlie Blackmon,projection,2429986,True,0.5,demon,Single Stat,Doubles,67599,OF,COL,https://static.prizepicks.com/images/players/mlb/Charlie_Blackmon_6d5ea773-5f3d-470e-b572-b59fc278f892.webp,2024-05-10 20:40:00-04:00
2024-05-10,Orlando Arcia,projection,2430941,True,0.5,demon,Single Stat,Runs,68833,IF,ATL,https://static.prizepicks.com/images/players/mlb/Orlando_Arcia_0e0faed9-3d08-418c-b4dc-f2e993483a36.webp,2024-05-10 19:10:00-04:00
2024-05-10,Gunnar Henderson,projection,2430082,True,0.5,goblin,Single Stat,Hits,74215,IF,BAL,https://static.prizepicks.com/images/players/mlb/Gunnar_Henderson_770894ef-45bc-4a10-a18e-d35b4b1fa867.webp,2024-05-10 19:05:00-04:00
2024-05-10,Ryan Mountcastle,projection,2430701,True,0.5,demon,Single Stat,RBIs,67726,IF,BAL,https://static.prizepicks.com/images/players/mlb/Ryan_Mountcastle_9fc34f7c-7d68-4d82-9460-0b12f3e728b5.webp,2024-05-10 19:05:00-04:00
2024-05-10,Andrew Vaughn,projection,2430598,True,0.5,goblin,Single Stat,Hitter Strikeouts,67831,IF,CWS,https://static.prizepicks.com/images/players/mlb/Andrew_Vaughn_60cf6995-e2a5-47d7-834a-d25cdbdf7f3e.webp,2024-05-10 19:40:00-04:00
2024-05-10,Corey Seager,projection,2429987,True,0.5,demon,Single Stat,Doubles,67575,IF,TEX,https://static.prizepicks.com/images/players/mlb/Corey_Seager_ca159e78-05a9-410a-be7b-3ebad5496a88.webp,2024-05-10 20:40:00-04:00
2024-05-10,Pete Alonso,projection,2430942,True,0.5,demon,Single Stat,Runs,67572,IF,NYM,https://static.prizepicks.com/images/players/mlb/Pete_Alonso_e91e752d-6a11-4f69-8244-77cf03a233d2.webp,2024-05-10 19:10:00-04:00
2024-05-10,Starling Marte,projection,2430943,True,0.5,demon,Single Stat,Runs,67574,OF,NYM,https://static.prizepicks.com/images/players/mlb/Starling_Marte_1c58cf18-0d61-479d-9438-0a4057f552ef.webp,2024-05-10 19:10:00-04:00
2024-05-10,Elehuris Montero,projection,2429988,True,0.5,demon,Single Stat,Doubles,70541,IF,COL,https://static.prizepicks.com/images/players/mlb/Elehuris_Montero_2e195870-15e8-41d9-9aaf-c7695fae8b87.webp,2024-05-10 20:40:00-04:00
2024-05-10,Ryan O'Hearn,projection,2430702,True,0.5,demon,Single Stat,RBIs,141425,IF,BAL,https://static.prizepicks.com/images/players/mlb/Ryan_O'Hearn_95f62738-6fd7-48a0-b8a8-46f17c0f939c.webp,2024-05-10 19:05:00-04:00
2024-05-10,Jordan Westburg,projection,2430084,True,0.5,goblin,Single Stat,Hits,144304,IF,BAL,https://static.prizepicks.com/images/players/mlb/Jordan_Westburg_c485275f-bbe2-42e5-9480-3c2c739c7805.webp,2024-05-10 19:05:00-04:00
2024-05-10,Bryan Ramos,projection,2430600,True,0.5,goblin,Single Stat,Hitter Strikeouts,196472,IF,CWS,https://static.prizepicks.com/images/players/placeholder.png,2024-05-10 19:40:00-04:00
2024-05-10,Travis d'Arnaud,projection,2430944,True,0.5,demon,Single Stat,Runs,68719,C,ATL,https://static.prizepicks.com/images/players/mlb/Travis_d'Arnaud_6cc35dbd-458e-48a5-a187-99abccbc1abf.webp,2024-05-10 19:10:00-04:00
2024-05-10,Austin Martin,projection,2430703,True,0.5,demon,Single Stat,RBIs,194120,OF,MIN,https://static.prizepicks.com/images/players/placeholder.png,2024-05-10 19:07:00-04:00
2024-05-10,Elias Díaz,projection,2429989,True,0.5,demon,Single Stat,Doubles,67662,C,COL,https://static.prizepicks.com/images/players/mlb/Elias_Díaz_564e9e9d-945e-41a3-812b-e0ed5bd76725.webp,2024-05-10 20:40:00-04:00
2024-05-10,Ketel Marte,projection,2430086,True,0.5,goblin,Single Stat,Hits,192366,IF,AZ,https://static.prizepicks.com/images/players/mlb/Second_Base_04b68b54-6217-4436-b3e8-bed6d3bd4942.webp,2024-05-10 19:05:00-04:00
2024-05-10,Bo Bichette,projection,2430704,True,0.5,demon,Single Stat,RBIs,67501,IF,TOR,https://static.prizepicks.com/images/players/mlb/Bo_Bichette_88344347-d02f-4bb0-ab54-81f26f13e5b1.webp,2024-05-10 19:07:00-04:00
2024-05-10,Eddie Rosario,projection,2430945,True,0.5,demon,Single Stat,Runs,193013,OF,WSH,https://static.prizepicks.com/images/players/mlb/Eddie_Rosario_4be357dd-add5-4613-937d-6b9a0831d9ee.webp,2024-05-10 19:10:00-04:00
2024-05-10,Ezequiel Duran,projection,2429990,True,0.5,demon,Single Stat,Doubles,69683,IF,TEX,https://static.prizepicks.com/images/players/mlb/Ezequiel_Duran_ccc0da4d-e4c0-46e9-8700-361a9bbd3625.webp,2024-05-10 20:40:00-04:00
2024-05-10,Ezequiel Tovar,projection,2429991,True,0.5,demon,Single Stat,Doubles,127201,IF,COL,https://static.prizepicks.com/images/players/mlb/Ezequiel_Tovar_9f9b67ad-6d80-408a-bf23-4ff1dbd8e999.webp,2024-05-10 20:40:00-04:00
2024-05-10,Jesse Winker,projection,2430946,True,0.5,demon,Single Stat,Runs,192774,OF,WSH,https://static.prizepicks.com/images/players/mlb/Jesse_Winker_e25f4bdb-6de3-4628-930f-dc860183fc0b.webp,2024-05-10 19:10:00-04:00
2024-05-10,Carlos Correa,projection,2430705,True,0.5,demon,Single Stat,RBIs,67511,IF,MIN,https://static.prizepicks.com/images/players/mlb/Carlos_Correa_3259a7ad-0490-4912-bd86-d06bf3ac91e0.webp,2024-05-10 19:07:00-04:00
2024-05-10,Joey Meneses,projection,2430947,True,0.5,demon,Single Stat,Runs,70156,IF,WSH,https://static.prizepicks.com/images/players/mlb/Joey_Meneses_7da1a5e8-d928-4723-8dc7-03af9d4d7d16.webp,2024-05-10 19:10:00-04:00
2024-05-10,Jonah Heim,projection,2429992,True,0.5,demon,Single Stat,Doubles,68576,C,TEX,https://static.prizepicks.com/images/players/mlb/Jonah_Heim_f75cce17-221d-4269-84ea-92083c354af7.webp,2024-05-10 20:40:00-04:00
2024-05-10,Kevin Newman,projection,2430088,True,0.5,goblin,Single Stat,Hits,194774,IF,AZ,https://static.prizepicks.com/images/players/mlb/Kevin_Newman_916739e3-f5ee-498c-a25a-2477c3bd6d14.webp,2024-05-10 19:05:00-04:00
2024-05-10,Carlos Santana,projection,2430706,True,0.5,demon,Single Stat,RBIs,192376,IF,MIN,https://static.prizepicks.com/images/players/mlb/Carlos_Santana_86167542-e9cf-4d20-8022-7ed53dc09d0a.webp,2024-05-10 19:07:00-04:00
2024-05-10,Keibert Ruiz,projection,2430948,True,0.5,demon,Single Stat,Runs,67637,C,WSH,https://static.prizepicks.com/images/players/mlb/Keibert_Ruiz_92defc55-fd9c-4069-b0a1-8cef9326753a.webp,2024-05-10 19:10:00-04:00
2024-05-10,Christian Vázquez,projection,2430707,True,0.5,demon,Single Stat,RBIs,127265,C,MIN,https://static.prizepicks.com/images/players/mlb/Christian_Vázquez_0d7a27a9-f41c-4fce-930e-113aa4cf4c52.webp,2024-05-10 19:07:00-04:00
2024-05-10,Josh Smith,projection,2429993,True,0.5,demon,Single Stat,Doubles,68843,IF,TEX,https://static.prizepicks.com/images/players/mlb/Josh_H._Smith_df34fa21-1eb8-4976-994e-fd9c8706e33c.webp,2024-05-10 20:40:00-04:00
2024-05-10,Leody Taveras,projection,2429994,True,0.5,demon,Single Stat,Doubles,67757,OF,TEX,https://static.prizepicks.com/images/players/mlb/Leody_Taveras_232a2331-2ab1-4cae-b8de-8b2e0bff5802.webp,2024-05-10 20:40:00-04:00
2024-05-10,Lourdes Gurriel Jr.,projection,2430090,True,0.5,goblin,Single Stat,Hits,192363,OF,AZ,https://static.prizepicks.com/images/players/mlb/Lourdes_Gurriel_Jr_20e7bd6e-fb56-4e86-ad2d-b50bc5477371.webp,2024-05-10 19:05:00-04:00
2024-05-10,Danny Jansen,projection,2430708,True,0.5,demon,Single Stat,RBIs,68905,C,TOR,https://static.prizepicks.com/images/players/mlb/Danny_Jansen_8d777ecb-4ab5-4c35-9daa-a1124a200b11.webp,2024-05-10 19:07:00-04:00
2024-05-10,Tommy Pham,projection,2430605,True,0.5,goblin,Single Stat,Hitter Strikeouts,195621,OF,CWS,https://static.prizepicks.com/images/players/mlb/Tommy_Pham_a8ff76c9-1554-421c-baed-2a22fb00ad71.webp,2024-05-10 19:40:00-04:00
2024-05-10,Brandon Nimmo,projection,2430389,True,0.5,goblin,Single Stat,Hits+Runs+RBIs,67802,OF,NYM,https://static.prizepicks.com/images/players/mlb/Brandon_Nimmo_bba23f9e-8aac-454a-b8ca-9373b5d1e5b8.webp,2024-05-10 19:10:00-04:00
